time,values
1.822,-0.355
1.824,-0.355
1.826,-0.357
1.828,-0.357
1.83,-0.357
1.832,-0.357
1.834,-0.358
1.836,-0.358
1.838,-0.358
1.84,-0.358
1.842,-0.36
1.844,-0.36
1.846,-0.36
1.848,-0.36
1.85,-0.361
1.852,-0.361
1.854,-0.361
1.856,-0.361
1.858,-0.362
1.86,-0.362
1.862,-0.362
1.864,-0.362
1.866,-0.361
1.868,-0.361
1.87,-0.361
1.872,-0.361
1.874,-0.359
1.876,-0.359
1.878,-0.359
1.88,-0.359
1.882,-0.356
1.884,-0.356
1.886,-0.356
1.888,-0.356
1.89,-0.353
1.892,-0.353
1.894,-0.353
1.896,-0.353
1.898,-0.348
1.9,-0.348
1.902,-0.348
1.904,-0.348
1.906,-0.344
1.908,-0.344
1.91,-0.344
1.912,-0.344
1.914,-0.338
1.916,-0.338
1.918,-0.338
1.92,-0.338
1.922,-0.331
1.924,-0.331
1.926,-0.331
1.928,-0.331
1.93,-0.323
1.932,-0.323
1.934,-0.323
1.936,-0.323
1.938,-0.312
1.94,-0.312
1.942,-0.312
1.944,-0.312
1.946,-0.301
1.948,-0.301
1.95,-0.301
1.952,-0.301
1.954,-0.29
1.956,-0.29
1.958,-0.29
1.96,-0.29
1.962,-0.281
1.964,-0.281
1.966,-0.281
1.968,-0.281
1.97,-0.273
1.972,-0.273
1.974,-0.273
1.976,-0.273
1.978,-0.266
1.98,-0.266
1.982,-0.266
1.984,-0.266
1.986,-0.26
1.988,-0.26
1.99,-0.26
1.992,-0.26
1.994,-0.254
1.996,-0.254
1.998,-0.254
2,-0.254
2.002,-0.247
2.004,-0.247
2.006,-0.247
2.008,-0.247
2.01,-0.241
2.012,-0.241
2.014,-0.241
2.016,-0.241
2.018,-0.236
2.02,-0.236
2.022,-0.236
2.024,-0.236
2.026,-0.232
2.028,-0.232
2.03,-0.232
2.032,-0.232
2.034,-0.228
2.036,-0.228
2.038,-0.228
2.04,-0.228
2.042,-0.225
2.044,-0.225
2.046,-0.225
2.048,-0.225
2.05,-0.223
2.052,-0.223
2.054,-0.223
2.056,-0.223
2.058,-0.223
2.06,-0.223
2.062,-0.223
2.064,-0.223
2.066,-0.226
2.068,-0.226
2.07,-0.226
2.072,-0.226
2.074,-0.23
2.076,-0.23
2.078,-0.23
2.08,-0.23
2.082,-0.235
2.084,-0.235
2.086,-0.235
2.088,-0.235
