time,values
1.6,0.665
1.602,0.0405
1.604,0.149
1.606,-0.522
1.608,0.436
1.61,-0.54
1.612,0.125
1.614,0.0904
1.616,0.139
1.618,0.0937
1.62,0.088
1.622,0.115
1.624,0.0438
1.626,0.0754
1.628,0.135
1.63,0.0623
1.632,0.0574
1.634,0.0663
1.636,0.0784
1.638,0.0746
1.64,0.104
1.642,0.0352
1.644,0.0793
1.646,0.0177
1.648,0.0767
1.65,0.128
1.652,0.0555
1.654,0.0632
1.656,0.0504
1.658,0.0659
1.66,0.0816
1.662,0.0472
1.664,0.0915
1.666,0.123
1.668,0.0732
1.67,0.0853
1.672,0.0948
1.674,0.0318
1.676,0.0689
1.678,0.0475
1.68,0.0594
1.682,0.0426
1.684,0.0884
1.686,0.106
1.688,0.0875
1.69,0.0702
1.692,0.0593
1.694,0.0887
1.696,0.0702
1.698,0.0722
1.7,0.055
1.702,0.0492
1.704,0.03
1.706,0.0431
1.708,0.141
1.71,0.0282
1.712,0.124
1.714,0.0734
1.716,0.0833
1.718,0.0533
1.72,0.116
1.722,0.121
1.724,0.112
1.726,0.0915
1.728,0.0939
1.73,0.0372
1.732,0.0516
1.734,0.0936
1.736,0.117
1.738,0.0512
1.74,0.0549
1.742,0.0831
1.744,0.0768
1.746,0.113
1.748,0.068
1.75,0.078
1.752,0.0551
1.754,0.063
1.756,0.0563
1.758,0.0643
1.76,0.0241
1.762,0.0519
1.764,0.0208
1.766,0.101
1.768,0.0419
1.77,0.0922
1.772,0.0757
1.774,0.0705
1.776,0.0641
1.778,0.0661
1.78,0.107
1.782,0.0587
1.784,0.0423
1.786,0.0864
1.788,0.0906
1.79,0.0736
1.792,0.0588
1.794,0.089
1.796,0.0655
1.798,0.0851
1.8,0.0548
1.802,0.0769
1.804,0.0376
1.806,0.0803
1.808,0.0887
1.81,0.0481
1.812,0.103
1.814,0.0635
1.816,0.118
1.818,0.0855
1.82,0.0766
1.822,0.107
1.824,0.106
1.826,0.063
1.828,0.092
1.83,0.0862
1.832,0.0295
1.834,0.131
1.836,0.0467
1.838,0.0807
1.84,0.0484
1.842,0.0387
1.844,0.106
1.846,0.0548
1.848,0.08
1.85,0.067
1.852,0.0347
1.854,0.127
1.856,0.08
1.858,0.0897
1.86,0.115
1.862,0.108
1.864,0.0927
1.866,0.0603
1.868,0.0691
1.87,0.0829
1.872,0.06
1.874,0.108
1.876,0.0403
1.878,0.0557
1.88,0.108
1.882,0.0894
1.884,0.114
1.886,0.106
1.888,0.0353
1.89,0.0422
1.892,0.0951
1.894,0.0906
1.896,0.0803
1.898,0.0684
1.9,0.0938
1.902,0.0676
1.904,0.786
1.906,0.0719
1.908,-0.375
1.91,-0.399
1.912,0.171
1.914,0.494
1.916,-0.328
1.918,0.336
1.92,1.05
1.922,-0.628
1.924,0.282
1.926,0.804
1.928,-0.609
1.93,0.309
1.932,-0.129
1.934,-0.6
1.936,-0.409
1.938,-0.594
1.94,-0.413
1.942,-0.463
1.944,-0.788
1.946,0.257
1.948,0.834
1.95,-0.107
1.952,0.565
1.954,0.298
1.956,0.787
1.958,0.447
1.96,-0.525
1.962,-0.647
1.964,0.843
1.966,-0.0505
1.968,-0.566
1.97,-0.945
1.972,1
1.974,0.0138
1.976,0.196
1.978,-0.161
1.98,-0.47
1.982,-0.788
1.984,0.00632
1.986,-0.213
1.988,0.567
1.99,0.386
1.992,-0.182
1.994,0.559
1.996,-0.723
1.998,0.97
2,0.0621
2.002,0.000201
2.004,0.834
2.006,-0.716
2.008,0.974
2.01,0.726
2.012,0.518
2.014,-0.0945
2.016,0.546
2.018,-0.489
2.02,-0.529
2.022,1.07
2.024,0.719
2.026,0.61
2.028,0.788
2.03,0.399
2.032,0.533
2.034,0.106
2.036,0.457
2.038,0.0301
2.04,0.0474
2.042,-0.00763
2.044,0.283
2.046,-0.847
2.048,-0.853
2.05,-0.225
2.052,-0.234
2.054,-1.02
2.056,-0.475
2.058,-0.314
2.06,-0.131
2.062,0.443
2.064,0.611
2.066,-0.119
2.068,0.212
2.07,0.682
2.072,-0.425
2.074,-0.587
2.076,-0.591
2.078,-0.905
2.08,0.436
2.082,-0.544
2.084,0.942
2.086,-0.749
2.088,-0.0703
2.09,-0.917
2.092,0.552
2.094,-0.0625
2.096,0.581
2.098,0.735
2.1,0.129
2.102,0.514
2.104,-0.396
2.106,-0.766
2.108,-0.438
2.11,0.504
2.112,1.05
2.114,0.0605
